dataset,capacity,algorithm,hits,requests,hit_rate
uniform,50,LRU,2556,20000,0.1278
uniform,50,LFU,2618,20000,0.1309
uniform,50,ARC,2574,20000,0.1287
uniform,50,2Q,1778,20000,0.0889
uniform,50,LIRS,2493,20000,0.12465
uniform,50,BELADY,8634,20000,0.4317
uniform,100,LRU,5070,20000,0.2535
uniform,100,LFU,5114,20000,0.2557
uniform,100,ARC,5075,20000,0.25375
uniform,100,2Q,3476,20000,0.1738
uniform,100,LIRS,5075,20000,0.25375
uniform,100,BELADY,11951,20000,0.59755
uniform,150,LRU,7438,20000,0.3719
uniform,150,LFU,7529,20000,0.37645
uniform,150,ARC,7557,20000,0.37785
uniform,150,2Q,5255,20000,0.26275
uniform,150,LIRS,7610,20000,0.3805
uniform,150,BELADY,14187,20000,0.70935
uniform,200,LRU,9943,20000,0.49715
uniform,200,LFU,9965,20000,0.49825
uniform,200,ARC,9949,20000,0.49745
uniform,200,2Q,7054,20000,0.3527
uniform,200,LIRS,10146,20000,0.5073
uniform,200,BELADY,15893,20000,0.79465
zipf,50,LRU,14498,20000,0.7249
zipf,50,LFU,15690,20000,0.7845
zipf,50,ARC,15296,20000,0.7648
zipf,50,2Q,14592,20000,0.7296
zipf,50,LIRS,15256,20000,0.7628
zipf,50,BELADY,16925,20000,0.84625
zipf,100,LRU,16543,20000,0.82715
zipf,100,LFU,17149,20000,0.85745
zipf,100,ARC,16828,20000,0.8414
zipf,100,2Q,16160,20000,0.808
zipf,100,LIRS,16943,20000,0.84715
zipf,100,BELADY,18193,20000,0.90965
zipf,150,LRU,17567,20000,0.87835
zipf,150,LFU,17990,20000,0.8995
zipf,150,ARC,17749,20000,0.88745
zipf,150,2Q,17038,20000,0.8519
zipf,150,LIRS,17820,20000,0.891
zipf,150,BELADY,18796,20000,0.9398
zipf,200,LRU,18251,20000,0.91255
zipf,200,LFU,18517,20000,0.92585
zipf,200,ARC,18299,20000,0.91495
zipf,200,2Q,17603,20000,0.88015
zipf,200,LIRS,18403,20000,0.92015
zipf,200,BELADY,19141,20000,0.95705
normal,50,LRU,4644,20000,0.2322
normal,50,LFU,5436,20000,0.2718
normal,50,ARC,4889,20000,0.24445
normal,50,2Q,3684,20000,0.1842
normal,50,LIRS,5001,20000,0.25005
normal,50,BELADY,11352,20000,0.5676
normal,100,LRU,9058,20000,0.4529
normal,100,LFU,10314,20000,0.5157
normal,100,ARC,9393,20000,0.46965
normal,100,2Q,7179,20000,0.35895
normal,100,LIRS,9793,20000,0.48965
normal,100,BELADY,15113,20000,0.75565
normal,150,LRU,13055,20000,0.65275
normal,150,LFU,14440,20000,0.722
normal,150,ARC,13455,20000,0.67275
normal,150,2Q,10203,20000,0.51015
normal,150,LIRS,13862,20000,0.6931
normal,150,BELADY,17303,20000,0.86515
normal,200,LRU,16289,20000,0.81445
normal,200,LFU,17396,20000,0.8698
normal,200,ARC,16400,20000,0.82
normal,200,2Q,12712,20000,0.6356
normal,200,LIRS,16931,20000,0.84655
normal,200,BELADY,18619,20000,0.93095
scan,50,LRU,0,20000,0.0
scan,50,LFU,0,20000,0.0
scan,50,ARC,0,20000,0.0
scan,50,2Q,0,20000,0.0
scan,50,LIRS,0,20000,0.0
scan,50,BELADY,0,20000,0.0
scan,100,LRU,0,20000,0.0
scan,100,LFU,0,20000,0.0
scan,100,ARC,0,20000,0.0
scan,100,2Q,0,20000,0.0
scan,100,LIRS,0,20000,0.0
scan,100,BELADY,0,20000,0.0
scan,150,LRU,0,20000,0.0
scan,150,LFU,0,20000,0.0
scan,150,ARC,0,20000,0.0
scan,150,2Q,0,20000,0.0
scan,150,LIRS,0,20000,0.0
scan,150,BELADY,0,20000,0.0
scan,200,LRU,0,20000,0.0
scan,200,LFU,0,20000,0.0
scan,200,ARC,0,20000,0.0
scan,200,2Q,0,20000,0.0
scan,200,LIRS,0,20000,0.0
scan,200,BELADY,0,20000,0.0
lru,50,LRU,4122,25952,0.15883168927250307
lru,50,LFU,5904,25952,0.22749691738594327
lru,50,ARC,5904,25952,0.22749691738594327
lru,50,2Q,4074,25952,0.15698212083847102
lru,50,LIRS,7878,25952,0.3035604192355117
lru,50,BELADY,12122,25952,0.46709309494451295
lru,100,LRU,20122,25952,0.7753545006165228
lru,100,LFU,5904,25952,0.22749691738594327
lru,100,ARC,18401,25952,0.7090397657213316
lru,100,2Q,5339,25952,0.20572595561035759
lru,100,LIRS,15546,25952,0.5990289765721332
lru,100,BELADY,20122,25952,0.7753545006165228
lru,150,LRU,21821,25952,0.8408215166461159
lru,150,LFU,6304,25952,0.24290998766954378
lru,150,ARC,21720,25952,0.8369297163995068
lru,150,2Q,5309,25952,0.20456997533908755
lru,150,LIRS,17686,25952,0.6814889025893958
lru,150,BELADY,21904,25952,0.844019728729963
lru,200,LRU,21821,25952,0.8408215166461159
lru,200,LFU,6304,25952,0.24290998766954378
lru,200,ARC,21747,25952,0.8379700986436498
lru,200,2Q,5129,25952,0.1976340937114673
lru,200,LIRS,17921,25952,0.6905440813810111
lru,200,BELADY,21904,25952,0.844019728729963
lfu,50,LRU,8666,16946,0.511389118376018
lfu,50,LFU,9127,16946,0.5385931783311696
lfu,50,ARC,8509,16946,0.5021243951374956
lfu,50,2Q,6807,16946,0.40168771391478814
lfu,50,LIRS,7999,16946,0.47202879735630826
lfu,50,BELADY,12864,16946,0.7591171957984185
lfu,100,LRU,13107,16946,0.7734568629765136
lfu,100,LFU,15237,16946,0.8991502419450018
lfu,100,ARC,13107,16946,0.7734568629765136
lfu,100,2Q,12058,16946,0.7115543491089342
lfu,100,LIRS,12026,16946,0.7096659978756049
lfu,100,BELADY,15237,16946,0.8991502419450018
lfu,150,LRU,15215,16946,0.8978520004720878
lfu,150,LFU,15237,16946,0.8991502419450018
lfu,150,ARC,15215,16946,0.8978520004720878
lfu,150,2Q,14827,16946,0.8749557417679689
lfu,150,LIRS,15147,16946,0.8938392541012629
lfu,150,BELADY,15237,16946,0.8991502419450018
lfu,200,LRU,15237,16946,0.8991502419450018
lfu,200,LFU,15237,16946,0.8991502419450018
lfu,200,ARC,15237,16946,0.8991502419450018
lfu,200,2Q,14872,16946,0.8776112356898383
lfu,200,LIRS,15235,16946,0.8990322199929187
