dataset,configuration,requests,hits,misses,hit_rate
uniform,LRU100,20000,5070,14930,0.2535
zipf,LRU100,20000,16543,3457,0.82715
normal,LRU100,20000,9058,10942,0.4529
scan,LRU100,20000,0,20000,0.0
lru,LRU100,25952,20122,5830,0.7753545006165228
lfu,LRU100,16946,13107,3839,0.7734568629765136
arc,LRU100,22919,11474,11445,0.5006326628561456
twoq,LRU100,29740,16372,13368,0.5505043712172158
lirs,LRU100,31072,1543,29529,0.049658856848609684
belady,LRU100,20200,0,20200,0.0
uniform,LRU50_LRU50,20000,2687,17313,0.13435
zipf,LRU50_LRU50,20000,14914,5086,0.7457
normal,LRU50_LRU50,20000,5067,14933,0.25335
scan,LRU50_LRU50,20000,0,20000,0.0
lru,LRU50_LRU50,25952,4122,21830,0.15883168927250307
lfu,LRU50_LRU50,16946,9703,7243,0.5725835005310987
arc,LRU50_LRU50,22919,10084,12835,0.43998429250839916
twoq,LRU50_LRU50,29740,13685,16055,0.4601546738399462
lirs,LRU50_LRU50,31072,1543,29529,0.049658856848609684
belady,LRU50_LRU50,20200,0,20200,0.0
uniform,LRU20_LFU80,20000,4250,15750,0.2125
zipf,LRU20_LFU80,20000,16691,3309,0.83455
normal,LRU20_LFU80,20000,8535,11465,0.42675
scan,LRU20_LFU80,20000,0,20000,0.0
lru,LRU20_LFU80,25952,5904,20048,0.22749691738594327
lfu,LRU20_LFU80,16946,13746,3200,0.81116487666706
arc,LRU20_LFU80,22919,10349,12570,0.4515467516034731
twoq,LRU20_LFU80,29740,13980,15760,0.47007397444519167
lirs,LRU20_LFU80,31072,1543,29529,0.049658856848609684
belady,LRU20_LFU80,20200,0,20200,0.0
uniform,LRU20_ARC80,20000,4038,15962,0.2019
zipf,LRU20_ARC80,20000,16423,3577,0.82115
normal,LRU20_ARC80,20000,7725,12275,0.38625
scan,LRU20_ARC80,20000,0,20000,0.0
lru,LRU20_ARC80,25952,5904,20048,0.22749691738594327
lfu,LRU20_ARC80,16946,13651,3295,0.8055588339431135
arc,LRU20_ARC80,22919,11487,11432,0.5011998778306209
twoq,LRU20_ARC80,29740,17527,12213,0.5893409549428379
lirs,LRU20_ARC80,31072,1543,29529,0.049658856848609684
belady,LRU20_ARC80,20200,0,20200,0.0
uniform,LRU20_LIRS80,20000,4097,15903,0.20485
zipf,LRU20_LIRS80,20000,16436,3564,0.8218
normal,LRU20_LIRS80,20000,7985,12015,0.39925
scan,LRU20_LIRS80,20000,0,20000,0.0
lru,LRU20_LIRS80,25952,10629,15323,0.4095638101109741
lfu,LRU20_LIRS80,16946,13598,3348,0.8024312522129116
arc,LRU20_LIRS80,22919,12552,10367,0.5476678738164842
twoq,LRU20_LIRS80,29740,18216,11524,0.6125084061869536
lirs,LRU20_LIRS80,31072,14389,16683,0.46308573635427397
belady,LRU20_LIRS80,20200,12736,7464,0.6304950495049505
