dataset,seed,capacity,requests,algorithm,hits,misses,hit_rate
uniform,0,100,20000,LRU,5070,14930,0.2535
uniform,0,100,20000,LFU,5114,14886,0.2557
uniform,0,100,20000,ARC,5075,14925,0.25375
uniform,0,100,20000,2Q,3476,16524,0.1738
uniform,0,100,20000,LIRS,5075,14925,0.25375
uniform,0,100,20000,BELADY,11951,8049,0.59755
uniform,1,100,20000,LRU,5052,14948,0.2526
uniform,1,100,20000,LFU,4874,15126,0.2437
uniform,1,100,20000,ARC,5015,14985,0.25075
uniform,1,100,20000,2Q,3382,16618,0.1691
uniform,1,100,20000,LIRS,5005,14995,0.25025
uniform,1,100,20000,BELADY,11940,8060,0.597
uniform,2,100,20000,LRU,4997,15003,0.24985
uniform,2,100,20000,LFU,4816,15184,0.2408
uniform,2,100,20000,ARC,4994,15006,0.2497
uniform,2,100,20000,2Q,3442,16558,0.1721
uniform,2,100,20000,LIRS,4935,15065,0.24675
uniform,2,100,20000,BELADY,11924,8076,0.5962
uniform,3,100,20000,LRU,4964,15036,0.2482
uniform,3,100,20000,LFU,5099,14901,0.25495
uniform,3,100,20000,ARC,4946,15054,0.2473
uniform,3,100,20000,2Q,3407,16593,0.17035
uniform,3,100,20000,LIRS,4932,15068,0.2466
uniform,3,100,20000,BELADY,11934,8066,0.5967
uniform,4,100,20000,LRU,4923,15077,0.24615
uniform,4,100,20000,LFU,4915,15085,0.24575
uniform,4,100,20000,ARC,4929,15071,0.24645
uniform,4,100,20000,2Q,3375,16625,0.16875
uniform,4,100,20000,LIRS,4917,15083,0.24585
uniform,4,100,20000,BELADY,11935,8065,0.59675
uniform,5,100,20000,LRU,5002,14998,0.2501
uniform,5,100,20000,LFU,5031,14969,0.25155
uniform,5,100,20000,ARC,5005,14995,0.25025
uniform,5,100,20000,2Q,3523,16477,0.17615
uniform,5,100,20000,LIRS,5041,14959,0.25205
uniform,5,100,20000,BELADY,11955,8045,0.59775
uniform,6,100,20000,LRU,4963,15037,0.24815
uniform,6,100,20000,LFU,4954,15046,0.2477
uniform,6,100,20000,ARC,4947,15053,0.24735
uniform,6,100,20000,2Q,3433,16567,0.17165
uniform,6,100,20000,LIRS,4951,15049,0.24755
uniform,6,100,20000,BELADY,11888,8112,0.5944
uniform,7,100,20000,LRU,4989,15011,0.24945
uniform,7,100,20000,LFU,4874,15126,0.2437
uniform,7,100,20000,ARC,5023,14977,0.25115
uniform,7,100,20000,2Q,3475,16525,0.17375
uniform,7,100,20000,LIRS,4997,15003,0.24985
uniform,7,100,20000,BELADY,11935,8065,0.59675
uniform,8,100,20000,LRU,4982,15018,0.2491
uniform,8,100,20000,LFU,4995,15005,0.24975
uniform,8,100,20000,ARC,4976,15024,0.2488
