dataset,kind,seed,config,capacity,levels,requests,hits,misses,hit_rate_percent
mixed_00.txt,mixed,0,2Q10_2Q90,100,2,20000,14733,5267,73.665000
mixed_00.txt,mixed,0,2Q10_ARC90,100,2,20000,14940,5060,74.700000
mixed_00.txt,mixed,0,2Q10_LFU90,100,2,20000,13485,6515,67.425000
mixed_00.txt,mixed,0,2Q10_LIRS90,100,2,20000,14822,5178,74.110000
mixed_00.txt,mixed,0,2Q10_LRU90,100,2,20000,14988,5012,74.940000
mixed_00.txt,mixed,0,2Q15_2Q85,100,2,20000,14872,5128,74.360000
mixed_00.txt,mixed,0,2Q15_ARC85,100,2,20000,14874,5126,74.370000
mixed_00.txt,mixed,0,2Q15_LFU85,100,2,20000,13895,6105,69.475000
mixed_00.txt,mixed,0,2Q15_LIRS85,100,2,20000,14750,5250,73.750000
mixed_00.txt,mixed,0,2Q15_LRU85,100,2,20000,14938,5062,74.690000
mixed_00.txt,mixed,0,2Q20_2Q80,100,2,20000,14940,5060,74.700000
mixed_00.txt,mixed,0,2Q20_ARC80,100,2,20000,14845,5155,74.225000
mixed_00.txt,mixed,0,2Q20_LFU80,100,2,20000,14013,5987,70.065000
mixed_00.txt,mixed,0,2Q20_LIRS80,100,2,20000,14691,5309,73.455000
mixed_00.txt,mixed,0,2Q20_LRU80,100,2,20000,14915,5085,74.575000
mixed_00.txt,mixed,0,2Q25_2Q75,100,2,20000,14767,5233,73.835000
mixed_00.txt,mixed,0,2Q25_ARC75,100,2,20000,14835,5165,74.175000
mixed_00.txt,mixed,0,2Q25_LFU75,100,2,20000,14064,5936,70.320000
mixed_00.txt,mixed,0,2Q25_LIRS75,100,2,20000,14606,5394,73.030000
mixed_00.txt,mixed,0,2Q25_LRU75,100,2,20000,14892,5108,74.460000
mixed_00.txt,mixed,0,2Q30_2Q70,100,2,20000,14582,5418,72.910000
mixed_00.txt,mixed,0,2Q30_ARC70,100,2,20000,14808,5192,74.040000
mixed_00.txt,mixed,0,2Q30_LFU70,100,2,20000,13998,6002,69.990000
