config,first_algorithm,first_capacity,second_algorithm,second_capacity,datasets,mean_hit_rate_percent,stddev_hit_rate_percentage_points,delta_vs_BELADY100_percentage_points
LRU5_LRU95,LRU,5,LRU,95,40,75.448500,0.259475,-9.184375
LRU10_LRU90,LRU,10,LRU,90,40,75.025750,0.274762,-9.607125
LRU15_LRU85,LRU,15,LRU,85,40,74.635125,0.278258,-9.997750
LRU20_LRU80,LRU,20,LRU,80,40,74.168750,0.286732,-10.464125
LRU25_LRU75,LRU,25,LRU,75,40,73.581375,0.309584,-11.051500
LRU30_LRU70,LRU,30,LRU,70,40,72.936125,0.308880,-11.696750
LRU35_LRU65,LRU,35,LRU,65,40,72.369125,0.316234,-12.263750
LRU40_LRU60,LRU,40,LRU,60,40,71.926500,0.310005,-12.706375
LRU45_LRU55,LRU,45,LRU,55,40,71.657000,0.318918,-12.975875
LRU50_LRU50,LRU,50,LRU,50,40,71.538625,0.317678,-13.094250
LRU55_LRU45,LRU,55,LRU,45,40,71.571250,0.309049,-13.061625
LRU60_LRU40,LRU,60,LRU,40,40,71.900125,0.311998,-12.732750
LRU65_LRU35,LRU,65,LRU,35,40,72.501875,0.303534,-12.131000
LRU70_LRU30,LRU,70,LRU,30,40,73.075250,0.298925,-11.557625
LRU75_LRU25,LRU,75,LRU,25,40,73.607000,0.297153,-11.025875
LRU80_LRU20,LRU,80,LRU,20,40,74.104625,0.290443,-10.528250
LRU85_LRU15,LRU,85,LRU,15,40,74.569375,0.274320,-10.063500
LRU90_LRU10,LRU,90,LRU,10,40,75.015625,0.274339,-9.617250
LRU95_LRU5,LRU,95,LRU,5,40,75.446000,0.260387,-9.186875
LRU5_ARC95,LRU,5,ARC,95,40,75.028625,0.294072,-9.604250
LRU10_ARC90,LRU,10,ARC,90,40,74.534875,0.310945,-10.098000
LRU15_ARC85,LRU,15,ARC,85,40,74.371375,0.343550,-10.261500
LRU20_ARC80,LRU,20,ARC,80,40,75.369375,0.319593,-9.263500
LRU25_ARC75,LRU,25,ARC,75,40,75.702000,0.299270,-8.930875
LRU30_ARC70,LRU,30,ARC,70,40,75.517875,0.290358,-9.115000
LRU35_ARC65,LRU,35,ARC,65,40,75.368875,0.281554,-9.264000
LRU40_ARC60,LRU,40,ARC,60,40,75.325625,0.284736,-9.307250
LRU45_ARC55,LRU,45,ARC,55,40,75.337500,0.279702,-9.295375
LRU50_ARC50,LRU,50,ARC,50,40,75.418125,0.277056,-9.214750
LRU55_ARC45,LRU,55,ARC,45,40,75.529250,0.287372,-9.103625
LRU60_ARC40,LRU,60,ARC,40,40,73.129000,0.838180,-11.503875
LRU65_ARC35,LRU,65,ARC,35,40,72.505375,0.300101,-12.127500
LRU70_ARC30,LRU,70,ARC,30,40,73.075250,0.298925,-11.557625
LRU75_ARC25,LRU,75,ARC,25,40,73.607000,0.297153,-11.025875
LRU80_ARC20,LRU,80,ARC,20,40,74.104625,0.290443,-10.528250
LRU85_ARC15,LRU,85,ARC,15,40,74.569375,0.274320,-10.063500
LRU90_ARC10,LRU,90,ARC,10,40,75.015625,0.274339,-9.617250
LRU95_ARC5,LRU,95,ARC,5,40,75.446000,0.260387,-9.186875
