dataset,kind,seed,config,capacity,levels,requests,hits,misses,hit_rate_percent
uniform_00.txt,uniform,0,2Q_10,10,1,20000,535,19465,2.675000
uniform_00.txt,uniform,0,2Q_100,100,1,20000,4985,15015,24.925000
uniform_00.txt,uniform,0,2Q_125,125,1,20000,6335,13665,31.675000
uniform_00.txt,uniform,0,2Q_150,150,1,20000,7620,12380,38.100000
uniform_00.txt,uniform,0,2Q_175,175,1,20000,8907,11093,44.535000
uniform_00.txt,uniform,0,2Q_200,200,1,20000,10159,9841,50.795000
uniform_00.txt,uniform,0,2Q_25,25,1,20000,1261,18739,6.305000
uniform_00.txt,uniform,0,2Q_50,50,1,20000,2503,17497,12.515000
uniform_00.txt,uniform,0,2Q_75,75,1,20000,3788,16212,18.940000
uniform_00.txt,uniform,0,ARC_10,10,1,20000,511,19489,2.555000
uniform_00.txt,uniform,0,ARC_100,100,1,20000,5088,14912,25.440000
uniform_00.txt,uniform,0,ARC_125,125,1,20000,6295,13705,31.475000
uniform_00.txt,uniform,0,ARC_150,150,1,20000,7562,12438,37.810000
uniform_00.txt,uniform,0,ARC_175,175,1,20000,8759,11241,43.795000
uniform_00.txt,uniform,0,ARC_200,200,1,20000,10012,9988,50.060000
uniform_00.txt,uniform,0,ARC_25,25,1,20000,1272,18728,6.360000
uniform_00.txt,uniform,0,ARC_50,50,1,20000,2572,17428,12.860000
uniform_00.txt,uniform,0,ARC_75,75,1,20000,3830,16170,19.150000
uniform_00.txt,uniform,0,LFU_10,10,1,20000,510,19490,2.550000
uniform_00.txt,uniform,0,LFU_100,100,1,20000,5096,14904,25.480000
uniform_00.txt,uniform,0,LFU_125,125,1,20000,6301,13699,31.505000
uniform_00.txt,uniform,0,LFU_150,150,1,20000,7480,12520,37.400000
uniform_00.txt,uniform,0,LFU_175,175,1,20000,8753,11247,43.765000
uniform_00.txt,uniform,0,LFU_200,200,1,20000,9973,10027,49.865000
uniform_00.txt,uniform,0,LFU_25,25,1,20000,1311,18689,6.555000
uniform_00.txt,uniform,0,LFU_50,50,1,20000,2602,17398,13.010000
uniform_00.txt,uniform,0,LFU_75,75,1,20000,3849,16151,19.245000
uniform_00.txt,uniform,0,LIRS_10,10,1,20000,543,19457,2.715000
uniform_00.txt,uniform,0,LIRS_100,100,1,20000,5075,14925,25.375000
uniform_00.txt,uniform,0,LIRS_125,125,1,20000,6296,13704,31.480000
uniform_00.txt,uniform,0,LIRS_150,150,1,20000,7625,12375,38.125000
uniform_00.txt,uniform,0,LIRS_175,175,1,20000,8884,11116,44.420000
uniform_00.txt,uniform,0,LIRS_200,200,1,20000,10164,9836,50.820000
uniform_00.txt,uniform,0,LIRS_25,25,1,20000,1315,18685,6.575000
uniform_00.txt,uniform,0,LIRS_50,50,1,20000,2475,17525,12.375000
uniform_00.txt,uniform,0,LIRS_75,75,1,20000,3769,16231,18.845000
uniform_00.txt,uniform,0,LRU20_2Q80,100,2,20000,4168,15832,20.840000
uniform_00.txt,uniform,0,LRU20_ARC80,100,2,20000,4049,15951,20.245000
uniform_00.txt,uniform,0,LRU20_LFU80,100,2,20000,4249,15751,21.245000
uniform_00.txt,uniform,0,LRU20_LIRS80,100,2,20000,4079,15921,20.395000
uniform_00.txt,uniform,0,LRU_10,10,1,20000,502,19498,2.510000
uniform_00.txt,uniform,0,LRU_100,100,1,20000,5066,14934,25.330000
uniform_00.txt,uniform,0,LRU_125,125,1,20000,6234,13766,31.170000
uniform_00.txt,uniform,0,LRU_150,150,1,20000,7463,12537,37.315000
uniform_00.txt,uniform,0,LRU_175,175,1,20000,8764,11236,43.820000
uniform_00.txt,uniform,0,LRU_200,200,1,20000,10012,9988,50.060000
uniform_00.txt,uniform,0,LRU_25,25,1,20000,1336,18664,6.680000
uniform_00.txt,uniform,0,LRU_50,50,1,20000,2581,17419,12.905000
uniform_00.txt,uniform,0,LRU_75,75,1,20000,3848,16152,19.240000
uniform_00.txt,uniform,0,BELADY_10,10,1,20000,3597,16403,17.985000
uniform_00.txt,uniform,0,BELADY_25,25,1,20000,6083,13917,30.415000
uniform_00.txt,uniform,0,BELADY_50,50,1,20000,8666,11334,43.330000
uniform_00.txt,uniform,0,BELADY_75,75,1,20000,10556,9444,52.780000
uniform_00.txt,uniform,0,BELADY_100,100,1,20000,12032,7968,60.160000
uniform_00.txt,uniform,0,BELADY_125,125,1,20000,13274,6726,66.370000
uniform_00.txt,uniform,0,BELADY_150,150,1,20000,14319,5681,71.595000
uniform_00.txt,uniform,0,BELADY_175,175,1,20000,15277,4723,76.385000
uniform_00.txt,uniform,0,BELADY_200,200,1,20000,16079,3921,80.395000
uniform_01.txt,uniform,1,2Q_10,10,1,20000,512,19488,2.560000
uniform_01.txt,uniform,1,2Q_100,100,1,20000,5042,14958,25.210000
uniform_01.txt,uniform,1,2Q_125,125,1,20000,6262,13738,31.310000
uniform_01.txt,uniform,1,2Q_150,150,1,20000,7540,12460,37.700000
uniform_01.txt,uniform,1,2Q_175,175,1,20000,8811,11189,44.055000
uniform_01.txt,uniform,1,2Q_200,200,1,20000,10058,9942,50.290000
uniform_01.txt,uniform,1,2Q_25,25,1,20000,1275,18725,6.375000
