kind,capacity,config,levels,datasets,mean_hits,mean_hit_rate_percent,variance_hit_rate_percentage_points_squared,stddev_hit_rate_percentage_points,min_hit_rate_percent,max_hit_rate_percent
hotshift,10,2Q_10,1,40,9274.000,46.370000,0.253942,0.503927,44.875000,47.300000
hotshift,10,ARC_10,1,40,10399.925,51.999625,0.141545,0.376225,51.265000,52.740000
hotshift,10,BELADY_10,1,40,13425.550,67.127750,0.074799,0.273493,66.505000,67.615000
hotshift,10,LFU_10,1,40,1277.675,6.388375,0.022721,0.150735,6.070000,6.760000
hotshift,10,LIRS_10,1,40,10936.625,54.683125,0.117021,0.342084,53.915000,55.220000
hotshift,10,LRU_10,1,40,10432.725,52.163625,0.162920,0.403634,51.325000,53.140000
hotshift,25,2Q_25,1,40,11072.125,55.360625,0.095510,0.309048,54.705000,55.910000
hotshift,25,ARC_25,1,40,13532.600,67.663000,0.103583,0.321843,66.960000,68.265000
hotshift,25,BELADY_25,1,40,14456.925,72.284625,0.050083,0.223791,71.845000,72.665000
hotshift,25,LFU_25,1,40,1283.050,6.415250,0.023537,0.153418,6.095000,6.745000
hotshift,25,LIRS_25,1,40,12275.075,61.375375,0.096712,0.310986,60.690000,61.950000
hotshift,25,LRU_25,1,40,13619.550,68.097750,0.087287,0.295444,67.470000,68.635000
hotshift,50,2Q_50,1,40,11343.625,56.718125,0.097303,0.311935,56.120000,57.300000
hotshift,50,ARC_50,1,40,13617.150,68.085750,0.139697,0.373760,67.220000,68.710000
hotshift,50,BELADY_50,1,40,15084.525,75.422625,0.037127,0.192683,75.055000,75.795000
hotshift,50,LFU_50,1,40,1290.875,6.454375,0.024644,0.156984,6.135000,6.800000
hotshift,50,LIRS_50,1,40,13118.625,65.593125,0.093562,0.305880,64.990000,66.180000
hotshift,50,LRU_50,1,40,13781.575,68.907875,0.067629,0.260056,68.375000,69.400000
hotshift,75,2Q_75,1,40,11708.725,58.543625,0.112879,0.335975,57.950000,59.155000
hotshift,75,ARC_75,1,40,13768.075,68.840375,0.117329,0.342533,68.220000,69.560000
hotshift,75,BELADY_75,1,40,15497.925,77.489625,0.030366,0.174258,77.145000,77.795000
hotshift,75,LFU_75,1,40,1299.525,6.497625,0.027667,0.166333,6.135000,6.885000
hotshift,75,LIRS_75,1,40,13576.075,67.880375,0.085271,0.292012,67.190000,68.470000
hotshift,75,LRU_75,1,40,13930.225,69.651125,0.063113,0.251224,69.150000,70.120000
hotshift,100,2Q_100,1,40,12446.125,62.230625,0.177105,0.420839,61.505000,63.290000
hotshift,100,ARC_100,1,40,13972.250,69.861250,0.146093,0.382221,68.915000,70.530000
hotshift,100,BELADY_100,1,40,15818.600,79.093000,0.022109,0.148690,78.790000,79.370000
hotshift,100,LFU_100,1,40,1307.700,6.538500,0.034473,0.185670,6.190000,7.015000
hotshift,100,LIRS_100,1,40,13777.325,68.886625,0.068909,0.262506,68.245000,69.365000
hotshift,100,LRU20_2Q80,2,40,14022.525,70.112625,0.125001,0.353555,69.345000,70.790000
hotshift,100,LRU20_ARC80,2,40,14109.900,70.549500,0.097750,0.312650,69.910000,71.270000
hotshift,100,LRU20_LFU80,2,40,13909.675,69.548375,0.118709,0.344542,68.780000,70.245000
hotshift,100,LRU20_LIRS80,2,40,14116.750,70.583750,0.110200,0.331963,69.695000,71.235000
hotshift,100,LRU_100,1,40,14076.125,70.380625,0.059763,0.244465,69.945000,70.785000
hotshift,125,2Q_125,1,40,13349.500,66.747500,0.217806,0.466697,65.940000,67.695000
